Year,Throughput,Capacity,"Asc import","Asc flow","Asc export","Asc resp","Ovh import","Ovh flow","Ovh export","Ovh resp",PCI,FCI,"Path length",Export,Resp,"Prim prod",Prod,Biomass,Catch,"Prop flow det",Ascendency,AMI,Entropy,TLc,"Shannon diversity index","FiB index","Det. TE (weighted)","PP TE (weighted)","Total TE (weigthed)"
1988:9, 5176.473, 15393.63, 0, 6.913033, 0.8184911, 13.42797, 0, 66.97079, 1.840847, 10.02886, 17.1219, 25.04186, 3.059747, 64.33493, 1627.463, 1603.452, 2264.501, 40.54857, 0.1762091, 0.2950516, 3257.216, 0.6292346, 2.973769, 3.589154, 1.023743, -1.218055, 0.1890424, 0.2000806, 0.1966027, 
1988:10, 5176.47, 15393.64, 0, 6.913403, 0.8184987, 13.42786, 0, 66.97044, 1.840965, 10.02884, 17.12184, 25.04201, 3.059756, 64.33626, 1627.455, 1603.464, 2264.518, 40.54991, 0.1775627, 0.2950499, 3257.259, 0.6292433, 2.973773, 3.587831, 1.024096, -1.203409, 0.1890457, 0.2000828, 0.1966052, 
1988:11, 5176.465, 15393.61, 0, 6.913785, 0.8185103, 13.42778, 0, 66.97013, 1.841099, 10.02869, 17.12183, 25.04219, 3.059766, 64.33772, 1627.447, 1603.476, 2264.535, 40.55104, 0.1790555, 0.295048, 3257.299, 0.6292517, 2.973768, 3.586454, 1.02443, -1.187882, 0.1890489, 0.2000849, 0.1966077, 
1988:12, 5176.46, 15393.51, 0, 6.914189, 0.8185271, 13.42775, 0, 66.96987, 1.84125, 10.0284, 17.12187, 25.04242, 3.059776, 64.33932, 1627.438, 1603.487, 2264.552, 40.55193, 0.1806869, 0.295046, 3257.338, 0.6292598, 2.973752, 3.584992, 1.024741, -1.171441, 0.1890519, 0.2000868, 0.1966099, 
1989:1, 5176.208, 15389.26, 0, 6.909679, 0.8177169, 13.43017, 0, 66.98238, 1.84007, 10.01998, 17.12331, 25.044, 3.059913, 64.3111, 1627.308, 1603.499, 2264.539, 40.55536, 0.1524535, 0.2950417, 3255.994, 0.6290306, 2.973076, 3.437566, 1.025288, -1.219978, 0.1890581, 0.2000908, 0.1966146, 
1989:2, 5176.24, 15389.43, 0, 6.910321, 0.8177366, 13.43005, 0, 66.98145, 1.840275, 10.02016, 17.12333, 25.04417, 3.059911, 64.31369, 1627.317, 1603.509, 2264.562, 40.55838, 0.1550162, 0.29504, 3256.112, 0.6290497, 2.97309, 3.440476, 1.025815, -1.203283, 0.1890617, 0.2000932, 0.1966174, 
1989:3, 5176.262, 15389.51, 0, 6.910968, 0.8177585, 13.42998, 0, 66.9806, 1.840489, 10.0202, 17.12341, 25.04442, 3.059911, 64.31625, 1627.322, 1603.52, 2264.583, 40.56103, 0.1575778, 0.295038, 3256.221, 0.629068, 2.973093, 3.443156, 1.026318, -1.186399, 0.1890653, 0.2000955, 0.1966201, 
1989:4, 5176.28, 15389.52, 0, 6.911619, 0.8177831, 13.42995, 0, 66.97982, 1.840709, 10.02012, 17.12355, 25.04472, 3.059912, 64.31879, 1627.325, 1603.53, 2264.605, 40.56332, 0.1601353, 0.2950358, 3256.323, 0.6290855, 2.973085, 3.445621, 1.0268, -1.169381, 0.1890688, 0.2000976, 0.1966227, 
1989:5, 5176.297, 15389.48, 0, 6.912268, 0.8178098, 13.42996, 0, 66.97912, 1.840935, 10.01992, 17.12376, 25.04508, 3.059914, 64.3213, 1627.327, 1603.541, 2264.627, 40.56528, 0.1626857, 0.2950333, 3256.419, 0.6291021, 2.973067, 3.447888, 1.027259, -1.152292, 0.1890723, 0.2000996, 0.1966252, 
1989:6, 5176.315, 15389.4, 0, 6.912912, 0.8178381, 13.43, 0, 66.97846, 1.841164, 10.01962, 17.12402, 25.04549, 3.059916, 64.32379, 1627.329, 1603.552, 2264.65, 40.56693, 0.1652254, 0.2950306, 3256.512, 0.6291177, 2.973041, 3.449976, 1.027698, -1.135189, 0.1890758, 0.2001017, 0.1966277, 
1989:7, 5176.338, 15389.29, 0, 6.913559, 0.8178678, 13.43007, 0, 66.97787, 1.841394, 10.01925, 17.12432, 25.04594, 3.059918, 64.32626, 1627.333, 1603.564, 2264.673, 40.56829, 0.167751, 0.2950278, 3256.604, 0.6291329, 2.973008, 3.451901, 1.028118, -1.118131, 0.1890793, 0.2001037, 0.1966302, 
1989:8, 5176.363, 15389.17, 0, 6.914193, 0.8178976, 13.43016, 0, 66.97729, 1.841623, 10.01884, 17.12468, 25.04642, 3.059919, 64.32869, 1627.338, 1603.574, 2264.697, 40.56939, 0.1702593, 0.2950249, 3256.695, 0.6291474, 2.97297, 3.453682, 1.02852, -1.101168, 0.1890828, 0.2001057, 0.1966327, 
1989:9, 5176.392, 15389.05, 0, 6.914821, 0.8179275, 13.43026, 0, 66.97673, 1.841851, 10.0184, 17.12505, 25.0469, 3.059919, 64.3311, 1627.345, 1603.584, 2264.72, 40.57026, 0.1727471, 0.2950219, 3256.786, 0.6291614, 2.97293, 3.455335, 1.028905, -1.084351, 0.1890864, 0.2001076, 0.1966352, 
1989:10, 5176.426, 15388.94, 0, 6.915442, 0.8179572, 13.43036, 0, 66.9762, 1.842076, 10.01797, 17.12545, 25.04739, 3.059919, 64.33348, 1627.354, 1603.594, 2264.743, 40.57092, 0.1752127, 0.2950189, 3256.878, 0.6291751, 2.972889, 3.456874, 1.029277, -1.067718, 0.1890899, 0.2001096, 0.1966377, 
1989:11, 5176.462, 15388.84, 0, 6.916049, 0.8179859, 13.43047, 0, 66.97565, 1.842297, 10.01755, 17.12586, 25.04789, 3.059918, 64.33583, 1627.364, 1603.603, 2264.766, 40.5714, 0.1776533, 0.2950158, 3256.971, 0.6291886, 2.972848, 3.458315, 1.029636, -1.051308, 0.1890935, 0.2001116, 0.1966402, 
