EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

timestep,fleet,group,value
271,1,1,1.60869E-06
271,3,11,9.732811E-05
272,1,1,1.671017E-06
272,3,11,9.752839E-05
273,1,1,1.728187E-06
273,3,11,9.759518E-05
274,1,1,1.782652E-06
274,3,11,9.753194E-05
275,1,1,1.835949E-06
275,3,11,9.735223E-05
276,1,1,1.885558E-06
276,3,11,9.706881E-05
277,1,1,1.927521E-06
277,3,11,9.669847E-05
278,1,1,1.943498E-06
278,3,11,9.62351E-05
279,1,1,1.885747E-06
279,3,11,9.572934E-05
280,1,1,1.797557E-06
280,3,11,9.527164E-05
281,1,1,1.72658E-06
281,3,11,9.490419E-05
282,1,1,1.694103E-06
282,3,11,9.461963E-05
283,1,1,1.699923E-06
283,3,11,9.439524E-05
284,1,1,1.734987E-06
284,3,11,9.422709E-05
285,1,1,1.786715E-06
285,3,11,9.410832E-05
286,1,1,1.845239E-06
286,3,11,9.406417E-05
287,1,1,1.914101E-06
287,3,11,9.40721E-05
288,1,1,1.984091E-06
288,3,11,9.412007E-05
289,1,1,2.049353E-06
289,3,11,9.421405E-05
290,1,1,2.116123E-06
290,3,11,9.4305E-05
291,1,1,2.178586E-06
291,3,11,9.434889E-05
292,1,1,2.220412E-06
292,3,11,9.434304E-05
293,1,1,2.231068E-06
293,3,11,9.430831E-05
294,1,1,2.20715E-06
294,3,11,9.42733E-05
295,1,1,2.149886E-06
295,3,11,9.430121E-05
296,1,1,2.078601E-06
296,3,11,9.445863E-05
297,1,1,2.017877E-06
297,3,11,9.473961E-05
298,1,1,1.974635E-06
298,3,11,9.511515E-05
299,1,1,1.945713E-06
299,3,11,9.558694E-05
300,1,1,1.928341E-06
300,3,11,9.614409E-05
301,1,1,1.919896E-06
301,3,11,9.680086E-05
302,1,1,1.921613E-06
302,3,11,9.753543E-05
303,1,1,1.9292E-06
303,3,11,9.835502E-05
